UNIDADE;CODPROD;ATIVIDADE;TARIFA;VLR META;META;PLANTASM;VLR ADC/P; PLANTAS 
126;10521;ROÇADA DE BROTO SEMI MECANIZADA;;R$ 20,00;1;1200;R$ 0,033;1200
126;10511;PRIMEIRA DESBROTA SEMI MECANIZADA;;R$ 20,00;1;1200;R$ 0,033;1200
126;10528;SEGUNDA DESBROTA SEMI MECANIZADA;;R$ 20,00;1;1200;R$ 0,033;1200
126;10538;TERCEIRA DESBROTA SEMI MECANIZADA;;R$ 20,00;1;1200;R$ 0,033;1200
126;10524;ROÇADA SEMI MECANIZADA;;R$ 20,00;0,8;960;R$ 0,033;1200
109;10521;ROÇADA DE BROTO SEMI MECANIZADA;;R$ 20,00;1;1200;R$ 0,033;1200
109;10511;PRIMEIRA DESBROTA SEMI MECANIZADA;;R$ 20,00;1;1200;R$ 0,033;1200
109;10528;SEGUNDA DESBROTA SEMI MECANIZADA;;R$ 20,00;1;1200;R$ 0,033;1200
109;10538;TERCEIRA DESBROTA SEMI MECANIZADA;;R$ 20,00;1;1200;R$ 0,033;1200
109;10524;ROÇADA SEMI MECANIZADA;;R$ 20,00;0,8;960;R$ 0,033;1200
108;10521;PRIMEIRA DESBROTA SEMI MECANIZADA;;R$ 20,00;1;1100;R$ 0,04;1100
108;10511;SEGUNDA DESBROTA SEMI MECANIZADA;;R$ 20,00;1,3;1430;R$ 0,03;1100
108;10528;TERCEIRA DESBROTA SEMI MECANIZADA;;R$ 20,00;1,6;1760;R$ 0,02;1100
122;11838;DESBROTA COM FOICE;;R$ 25,00;0,9;1250;R$ 0,05;1250
122;12042;DESBROTA COM FOICE PESADA;;R$ 25,00;0,7;1250;R$ 0,05;1250
122;11841;DESBROTA MOTOROCADEIRA;;R$ 25,00;0,9;1250;R$ 0,05;1250


